,model_name,model_param,score
0,logistic,"{'C': 20, 'solver': 'liblinear'}",0.9609886060642496
1,XGBoost,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1}",0.9995439368013772
